NO,YEAR,Y_distress,X1_gross_profit,X2_net_profit_margin,X3_current_ratio,X4_quick_ratio,X5_cash_ratio,X6_receivable_turnover,X7_inventory_turnover,X8_leverage_asset,X9_leverage_equity,X10_dscr,X11_asset_coverage,X12_mbv,X13_indep_commissioner,X14_board_diversity,X15_corruption_index,SHARE_CODE,IEQ_equity_to_liability,equity_negative,equity_negative_2yr,X1_gross_profit_frac,X2_net_profit_margin_frac,X8_leverage_asset_frac,X9_leverage_equity_frac,flag_extreme_X1_gross_profit,flag_extreme_X2_net_profit_margin,flag_extreme_X3_current_ratio,flag_extreme_X4_quick_ratio,flag_extreme_X5_cash_ratio,flag_extreme_X6_receivable_turnover,flag_extreme_X7_inventory_turnover,flag_extreme_X8_leverage_asset,flag_extreme_IEQ_equity_to_liability,flag_extreme_X10_dscr,flag_extreme_X11_asset_coverage,flag_extreme_X12_mbv,n_extreme_flags
125,2019,0,45.43,10.97,2.0,1.55,0.7366188902397954,5.65,4.44,3.2,4.63,0.5062215549564137,8.166668769795702,1.0854058742430939,0.3333333333333333,0.0,40,ADES,21.598272138228943,0,0.0,0.4543,0.1097,0.032,0.0463,0,0,0,0,0,0,0,0,0,0,0,0,0
124,2020,0,50.87,20.17,2.97,2.53,1.8440283505575863,5.21,4.16,0.88,1.2,0.6911023954344653,10.374605213853648,1.2294639433097123,0.5,0.2,37,ADES,83.33333333333333,0,0.0,0.5086999999999999,0.20170000000000002,0.0088,0.012,0,0,0,0,0,0,0,0,0,0,0,0,0
123,2021,0,53.43,28.42,2.51,2.14,1.4541169368812112,6.5,4.88,0.31,0.41,0.9785097415126343,15.71113706692555,2.001161530474306,0.5,0.0,38,ADES,243.90243902439028,0,0.0,0.5343,0.2842,0.0031,0.0040999999999999995,0,0,0,0,0,0,0,0,0,0,0,0,0
122,2022,0,51.96,28.27,3.2,2.62,1.5221557873578335,7.23,5.03,0.15,0.18,1.4309950892368688,24.82487015189105,3.1708086536473394,0.3333333333333333,0.0,34,ADES,555.5555555555555,0,0.0,0.5196000000000001,0.2827,0.0015,0.0018,0,0,0,0,0,0,0,0,0,0,0,0,0
121,2023,0,53.16,25.95,4.12,3.59,2.5613960523937966,7.26,4.69,0.03,0.04,1.367221575016743,31.583592644978783,3.299355500726092,0.3333333333333333,0.0,34,ADES,2500.0,0,0.0,0.5316,0.2595,0.0003,0.0004,0,0,0,0,0,0,0,1,1,0,0,0,2
155,2013,0,12.66,4.14,1.39,1.23,0.2965548100344629,1.95,10.89,17.58,110.35,0.08196463245297483,1.9494868044702947,2.0951067979396365,0.4,0.0,32,ADHI,0.9062075215224287,0,,0.1266,0.0414,0.17579999999999998,1.1035,0,0,0,0,0,0,0,0,0,0,0,0,0
154,2014,0,11.54,3.83,1.3,1.13,0.11524721454830822,1.62,6.72,21.7,138.3,0.06704154245188762,1.9230925412068594,4.556787108399462,0.5,0.0,34,ADHI,0.7230657989877078,0,0.0,0.11539999999999999,0.0383,0.217,1.383,0,0,0,0,0,0,0,0,0,0,0,0,0
153,2015,0,10.38,4.95,1.56,1.38,0.4585867887945643,1.58,5.72,18.61,60.41,0.054754862882089576,3.363105236970272,1.7606677531468125,0.3333333333333333,0.16666666666666666,36,ADHI,1.655355073663301,0,0.0,0.1038,0.0495,0.1861,0.6041,0,0,0,0,0,0,0,0,0,0,0,0,0
152,2016,0,10.08,2.85,1.29,1.12,0.2579588440159993,1.37,4.98,21.26,78.49,0.039148151615769615,4.384210546181293,1.6230626467422207,0.5,0.0,37,ADHI,1.274047649382087,0,0.0,0.1008,0.0285,0.2126,0.7848999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0
151,2017,0,13.58,3.41,1.41,1.2,0.2342826528498741,1.22,4.4,29.83,144.0,0.06574044419669324,2.2153688993809086,1.3638672090802253,0.4,0.2,37,ADHI,0.6944444444444444,0,0.0,0.1358,0.0341,0.2983,1.44,0,0,0,0,0,0,0,0,0,0,0,0,0
150,2018,0,16.01,4.12,1.34,1.11,0.17233104947399788,1.03,3.27,28.42,136.09,0.07556524870837722,2.2901785180836414,1.0710208418343234,0.4,0.0,38,ADHI,0.7348078477478139,0,0.0,0.16010000000000002,0.0412,0.2842,1.3609,0,0,0,0,0,0,0,0,0,0,0,0,0
